grid_id,cell_number,row,col,centroid_lat,centroid_lon,minlat,maxlat,minlon,maxlon,area_km2,cell_type,location_name,lcality,dist1rict,province,formatted_address,locality,district
grid_0_0,0,0,0,5.871954954954954,79.63703684901137,5.82690990990991,5.917,79.59156202152421,79.6825116764985,100.31754337307449,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_1,1,0,1,5.871954954954954,79.72798650398566,5.82690990990991,5.917,79.6825116764985,79.7734613314728,100.31024734390212,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_2,2,0,2,5.871954954954954,79.81893615895994,5.82690990990991,5.917,79.7734613314728,79.8644109864471,100.30345561324516,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_3,3,0,3,5.871954954954954,79.90988581393422,5.82690990990991,5.917,79.86441098644708,79.95536064142138,100.2971680448794,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_4,4,0,4,5.871954954954954,80.00083546890852,5.82690990990991,5.917,79.95536064142138,80.04631029639567,100.2913845127866,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_5,5,0,5,5.871954954954954,80.09178512388283,5.82690990990991,5.917,80.04631029639567,80.13725995136997,100.2861049010266,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_6,6,0,6,5.871954954954954,80.18273477885711,5.82690990990991,5.917,80.13725995136997,80.22820960634427,100.28132910372138,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_7,7,0,7,5.871954954954954,80.2736844338314,5.82690990990991,5.917,80.22820960634427,80.31915926131856,100.27705702518791,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_8,8,0,8,5.871954954954954,80.36463408880569,5.82690990990991,5.917,80.31915926131855,80.41010891629284,100.27328857980264,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_9,9,0,9,5.871954954954954,80.45558374377998,5.82690990990991,5.917,80.41010891629284,80.50105857126714,100.27002369199684,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_10,10,0,10,5.871954954954954,80.54653339875429,5.82690990990991,5.917,80.50105857126714,80.59200822624143,100.267262296382,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_11,11,0,11,5.871954954954954,80.63748305372857,5.82690990990991,5.917,80.59200822624143,80.68295788121573,100.26500433762344,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_12,12,0,12,5.871954954954954,80.72843270870285,5.82690990990991,5.917,80.68295788121571,80.77390753619001,100.26324977042982,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_13,13,0,13,5.871954954954954,80.81938236367716,5.82690990990991,5.917,80.77390753619001,80.8648571911643,100.26199855968731,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_14,14,0,14,5.871954954954954,80.91033201865146,5.82690990990991,5.917,80.8648571911643,80.9558068461386,100.26125068032285,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_15,15,0,15,5.871954954954954,81.00128167362574,5.82690990990991,5.917,80.9558068461386,81.0467565011129,100.26100611730796,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_16,16,0,16,5.871954954954954,81.09223132860005,5.82690990990991,5.917,81.0467565011129,81.13770615608719,100.26126486578536,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_17,17,0,17,5.871954954954954,81.18318098357432,5.82690990990991,5.917,81.13770615608718,81.22865581106147,100.26202693093956,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_18,18,0,18,5.871954954954954,81.27413063854861,5.82690990990991,5.917,81.22865581106147,81.31960546603577,100.263292327999,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_19,19,0,19,5.871954954954954,81.36508029352292,5.82690990990991,5.917,81.31960546603577,81.41055512101006,100.2650610823608,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_20,20,0,20,5.871954954954954,81.45602994849723,5.82690990990991,5.917,81.41055512101006,81.50150477598436,100.26733322946632,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_21,21,0,21,5.871954954954954,81.5469796034715,5.82690990990991,5.917,81.50150477598436,81.59245443095865,100.27010881480638,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_22,22,0,22,5.871954954954954,81.63792925844578,5.82690990990991,5.917,81.59245443095864,81.68340408593293,100.2733878940458,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_23,23,0,23,5.871954954954954,81.72887891342009,5.82690990990991,5.917,81.68340408593293,81.77435374090723,100.27717053289857,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_24,24,0,24,5.871954954954954,81.81982856839437,5.82690990990991,5.917,81.77435374090723,81.86530339588153,100.28145680712969,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_25,25,0,25,5.871954954954954,81.9107782233687,5.82690990990991,5.917,81.86530339588153,81.95625305085582,100.28624680269137,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_0_26,26,0,26,5.871954954954954,82.00172787834296,5.82690990990991,5.917,81.95625305085582,82.04720270583012,100.29154061559684,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_0,27,1,0,5.962045045045044,79.63703684901137,5.917,6.00709009009009,79.59156202152421,79.6825116764985,100.30161143221508,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_1,28,1,1,5.962045045045044,79.72798650398566,5.917,6.00709009009009,79.6825116764985,79.7734613314728,100.29431895587508,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_2,29,1,2,5.962045045045044,79.81893615895994,5.917,6.00709009009009,79.7734613314728,79.8644109864471,100.28753053216086,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_3,30,1,3,5.962045045045044,79.90988581393422,5.917,6.00709009009009,79.86441098644708,79.95536064142138,100.28124602498876,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_4,31,1,4,5.962045045045044,80.00083546890852,5.917,6.00709009009009,79.95536064142138,80.04631029639567,100.27546530846116,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_5,32,1,5,5.962045045045044,80.09178512388283,5.917,6.00709009009009,80.04631029639567,80.13725995136997,100.27018826674926,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_6,33,1,6,5.962045045045044,80.18273477885711,5.917,6.00709009009009,80.13725995136997,80.22820960634427,100.2654147940837,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_7,34,1,7,5.962045045045044,80.2736844338314,5.917,6.00709009009009,80.22820960634427,80.31915926131856,100.2611447948734,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
grid_1_8,35,1,8,5.962045045045044,80.36463408880569,5.917,6.00709009009009,80.31915926131855,80.41010891629284,100.25737818357987,coastal,Unknown,,,,,,Unknown
grid_1_9,36,1,9,5.962045045045044,80.45558374377998,5.917,6.00709009009009,80.41010891629284,80.50105857126714,100.25411488471138,coastal,Unknown,,,,,,Unknown
grid_1_10,37,1,10,5.962045045045044,80.54653339875429,5.917,6.00709009009009,80.50105857126714,80.59200822624143,100.2513548329427,ocean,Indian Ocean,,,N/A,Indian Ocean,Ocean,N/A
